time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/iterations,train/clip_fraction,train/explained_variance,train/value_loss,train/clip_range,train/learning_rate,train/loss,train/entropy_loss,train/n_updates,train/policy_gradient_loss,train/approx_kl
188416,290,19.95,82.42,649,92,0.050048828125,0.5923079252243042,8.733321672677993,0.2,0.0003,4.444240093231201,-0.12251512575894594,910,-0.019221937586553394,0.00768223
190464,293,20.75,85.8,649,93,0.040380859375,0.5967223644256592,8.693673866987229,0.2,0.0003,4.795432090759277,-0.12466544881463051,920,-0.016424543227185496,0.0063169906
192512,296,20.34,86.05,649,94,0.04072265625,0.587474524974823,9.324894678592681,0.2,0.0003,4.824023246765137,-0.12435569651424885,930,-0.011664649494923652,0.004916232
194560,298,21.24,86.0,650,95,0.046826171875,0.617687463760376,8.604059398174286,0.2,0.0003,4.246546268463135,-0.11605563079938293,940,-0.01725938821036834,0.0078053223
196608,301,21.29,88.49,652,96,0.03896484375,0.6582683324813843,7.231709504127503,0.2,0.0003,2.8465945720672607,-0.11556032979860902,950,-0.013752923990250566,0.005889115
198656,304,20.76,85.46,652,97,0.034912109375,0.6818286180496216,7.594699072837829,0.2,0.0003,3.25704026222229,-0.11164332944899798,960,-0.01231183482450433,0.0051898425
200704,307,20.14,87.46,652,98,0.043115234375,0.6423332691192627,7.610591560602188,0.2,0.0003,3.1718409061431885,-0.11507256990298628,970,-0.015887713205302134,0.008892238
202752,310,21.2,83.55,653,99,0.049853515625,0.5902730822563171,8.598326939344407,0.2,0.0003,3.6603844165802,-0.11334641445428133,980,-0.017118862312054263,0.008722339
204800,312,20.13,74.57,654,100,0.0470703125,0.6141589879989624,8.333203887939453,0.2,0.0003,3.618572950363159,-0.10416276706382632,990,-0.018801659983000717,0.007391586
206848,315,19.66,80.31,655,101,0.045703125,0.6406797766685486,7.448075199127198,0.2,0.0003,2.7750203609466553,-0.10417034570127726,1000,-0.017954618990188465,0.007990728
208896,317,21.54,90.39,657,102,0.038427734375,0.6242471933364868,8.031160289049149,0.2,0.0003,3.993853807449341,-0.10803922368213534,1010,-0.013197242666501552,0.0053598685
210944,320,20.7,85.86,657,103,0.0470703125,0.6505193710327148,8.145140314102173,0.2,0.0003,4.009239196777344,-0.10722449906170368,1020,-0.014615028706612066,0.0062189437
